LexToken(COMMA,',',25,680)
LexToken(ADADSABET,'4',25,681)
LexToken(RPAR,')',25,682)
LexToken(MOD,'%',25,683)
LexToken(SEMICOLON,';',25,684)
LexToken(DO,'do',26,690)
LexToken(LBRACE,'{',26,693)
LexToken(SHENASE,'#im120',27,703)
LexToken(ASSIGNMENT_SIGN,':=',27,710)
LexToken(SHENASE,'#ab445',27,713)
LexToken(LPAR,'(',27,719)
LexToken(LPAR,'(',27,720)
LexToken(SHENASE,'#im120',27,721)
LexToken(COMMA,',',27,727)
LexToken(SHENASE,'#kf222',27,729)
LexToken(RPAR,')',27,735)
LexToken(MINUS,'-',27,736)
LexToken(RPAR,')',27,737)
LexToken(SEMICOLON,';',27,738)
LexToken(EXIT,'exit',28,748)
LexToken(WHEN,'when',28,753)
LexToken(LPAR,'(',28,758)
LexToken(LPAR,'(',28,759)
LexToken(SHENASE,'#ar111',28,760)
LexToken(LBRACK,'[',28,766)
LexToken(ADADSABET,'2',28,767)
LexToken(RBRACK,']',28,768)
LexToken(COMMA,',',28,769)
LexToken(ADADSABET,'0',28,771)
LexToken(RPAR,')',28,772)
LexToken(GT,'>',28,773)
LexToken(RPAR,')',28,774)
LexToken(NAGHIZ,'naghiz',28,775)
LexToken(GOZINESH,'gozinesh',29,790)
LexToken(SHENASE,'#im120',29,799)
LexToken(MORED,'mored',30,818)
LexToken(ADADSABET,'0',30,824)
LexToken(COLON,':',30,825)
LexToken(LBRACE,'{',30,827)
LexToken(SHENASE,'#im120',30,828)
LexToken(ASSIGNMENT_SIGN,':=',30,834)
LexToken(LPAR,'(',30,837)
LexToken(LBRACE,'{',30,838)
LexToken(SHENASE,'#im120',30,839)
LexToken(COMMA,',',30,845)
LexToken(ADADSABET,'1',30,847)
LexToken(RPAR,')',30,848)
LexToken(MINUS,'-',30,849)
LexToken(RBRACE,'}',30,850)
LexToken(MORED,'mored',31,864)
LexToken(ADADSABET,'1',31,870)
LexToken(COLON,':',31,871)
LexToken(LBRACE,'{',31,873)
LexToken(SHENASE,'#kf222',31,874)
LexToken(ASSIGNMENT_SIGN,':=',31,880)
LexToken(LPAR,'(',31,883)
LexToken(LBRACE,'{',31,884)
LexToken(SHENASE,'#kf222',31,885)
LexToken(COMMA,',',31,891)
LexToken(ADADSABET,'2',31,893)
LexToken(RPAR,')',31,894)
LexToken(PLUS,'+',31,895)
LexToken(RBRACE,'}',31,896)
LexToken(MORED,'mored',32,910)
LexToken(ADADSABET,'2',32,916)
LexToken(COLON,':',32,917)
LexToken(LBRACE,'{',32,919)
LexToken(SHENASE,'#im120',32,920)
LexToken(ASSIGNMENT_SIGN,':=',32,926)
LexToken(LPAR,'(',32,929)
LexToken(LBRACE,'{',32,930)
LexToken(SHENASE,'#im120',32,931)
LexToken(COMMA,',',32,937)
LexToken(ADADSABET,'5',32,939)
LexToken(RPAR,')',32,940)
LexToken(MINUS,'-',32,941)
LexToken(RBRACE,'}',32,942)
LexToken(MORED,'mored',33,956)
LexToken(ADADSABET,'3',33,962)
LexToken(COLON,':',33,963)
LexToken(LBRACE,'{',33,965)
LexToken(SHENASE,'#im120',33,966)
LexToken(ASSIGNMENT_SIGN,':=',33,972)
LexToken(LPAR,'(',33,975)
LexToken(LBRACE,'{',33,976)
LexToken(SHENASE,'#im120',33,977)
LexToken(COMMA,',',33,983)
LexToken(ADADSABET,'2',33,985)
LexToken(RPAR,')',33,986)
LexToken(PLUS,'+',33,987)
LexToken(RBRACE,'}',33,988)
LexToken(DEFAULT,'default',34,1002)
LexToken(COLON,':',34,1009)
LexToken(LBRACE,'{',34,1011)
LexToken(SHENASE,'#kf222',34,1012)
LexToken(ASSIGNMENT_SIGN,':=',34,1018)
LexToken(ADADSABET,'0',34,1021)
LexToken(RBRACE,'}',34,1022)
LexToken(END,'end',35,1032)
LexToken(SHENASE,'#ar111',36,1044)
LexToken(LBRACK,'[',36,1050)
LexToken(ADADSABET,'2',36,1051)
LexToken(RBRACK,']',36,1052)
LexToken(ASSIGNMENT_SIGN,':=',36,1054)
LexToken(LPAR,'(',36,1057)
LexToken(SHENASE,'#ar111',36,1058)
LexToken(LBRACK,'[',36,1064)
LexToken(ADADSABET,'2',36,1065)
LexToken(RBRACK,']',36,1066)
LexToken(COMMA,',',36,1067)
LexToken(LPAR,'(',36,1068)
LexToken(SHENASE,'#ch212',36,1069)
LexToken(LBRACK,'[',36,1075)
LexToken(ADADSABET,'2',36,1076)
LexToken(RBRACK,']',36,1077)
LexToken(ASSIGNMENT_SIGN,':=',36,1079)
LexToken(HARF,"'d'",36,1082)
LexToken(RPAR,')',36,1085)
LexToken(RPAR,')',36,1086)
LexToken(MINUS,'-',36,1087)
LexToken(SEMICOLON,';',36,1088)
LexToken(RBRACE,'}',37,1094)
LexToken(WHILE,'while',37,1096)
LexToken(LPAR,'(',37,1102)
LexToken(SHENASE,'#kf222',37,1103)
LexToken(COMMA,',',37,1109)
LexToken(ADADSABET,'0',37,1110)
LexToken(RPAR,')',37,1111)
LexToken(GT,'>',37,1112)
LexToken(SEMICOLON,';',37,1113)
LexToken(FOR,'for',38,1119)
LexToken(SHENASE,'#jc230',38,1123)
LexToken(ASSIGNMENT_SIGN,':=',38,1129)
LexToken(ADADSABET,'10',38,1132)
LexToken(DOWNTO,'downto',38,1135)
LexToken(ADADSABET,'2',38,1142)
LexToken(DO,'do',38,1144)
LexToken(LBRACE,'{',38,1147)
LexToken(SHENASE,'#im120',39,1157)
LexToken(ASSIGNMENT_SIGN,':=',39,1164)
LexToken(LPAR,'(',39,1167)
LexToken(SHENASE,'#im120',39,1168)
LexToken(COMMA,',',39,1174)
LexToken(ADADSABET,'1',39,1176)
LexToken(RPAR,')',39,1177)
LexToken(PLUS,'+',39,1178)
LexToken(SEMICOLON,';',39,1179)
LexToken(SHENASE,'#kf222',40,1189)
LexToken(ASSIGNMENT_SIGN,':=',40,1195)
LexToken(LPAR,'(',40,1198)
LexToken(SHENASE,'#kf222',40,1199)
LexToken(COMMA,',',40,1205)
LexToken(ADADSABET,'1',40,1207)
LexToken(RPAR,')',40,1208)
LexToken(MINUS,'-',40,1209)
LexToken(SEMICOLON,';',40,1210)
LexToken(RBRACE,'}',41,1216)
LexToken(RBRACE,'}',42,1218)
